"case_id","clients","dimension","ring_dim","block_count","noise","seed","repetition","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","decoded_or_wire_mismatches","protocol_abort_count","total_ms","total_bytes","peak_rss_kb","wrapper_elapsed_seconds","result_file"
"c30_d8192_b1_dgg32_s2025_r004","30","8192","16384","1","dgg32","2025","4","PASS","0","0","0","0","909.682","65021632","168236","1.03668","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2025_r004.json"
"c30_d8192_b1_dgg32_s2025_r005","30","8192","16384","1","dgg32","2025","5","PASS","0","0","0","0","918.102","65021632","168172","1.043066","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2025_r005.json"
"c30_d8192_b1_dgg32_s2026_r001","30","8192","16384","1","dgg32","2026","1","PASS","0","0","0","0","906.649","65021632","168240","1.03854","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2026_r001.json"
"c30_d8192_b1_dgg32_s2026_r002","30","8192","16384","1","dgg32","2026","2","PASS","0","0","0","0","851.029","65021632","168244","0.984895","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2026_r002.json"
"c30_d8192_b1_dgg32_s2026_r003","30","8192","16384","1","dgg32","2026","3","PASS","0","0","0","0","935.262","65021632","168240","1.056444","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2026_r003.json"
"c30_d8192_b1_dgg32_s2026_r004","30","8192","16384","1","dgg32","2026","4","PASS","0","0","0","0","875.706","65021632","168240","0.999742","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2026_r004.json"
"c30_d8192_b1_dgg32_s2026_r005","30","8192","16384","1","dgg32","2026","5","PASS","0","0","0","0","981.126","65021632","168236","1.110663","results/formal_v8/multiblock_scaling_paper/c30_d8192_b1_dgg32_s2026_r005.json"
"c50_d8192_b1_dgg32_s2024_r001","50","8192","16384","1","dgg32","2024","1","PASS","0","0","0","0","1664.5","106971072","273652","1.789895","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2024_r001.json"
"c50_d8192_b1_dgg32_s2024_r002","50","8192","16384","1","dgg32","2024","2","PASS","0","0","0","0","1427.16","106971072","273656","1.543092","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2024_r002.json"
"c50_d8192_b1_dgg32_s2024_r003","50","8192","16384","1","dgg32","2024","3","PASS","0","0","0","0","1509.53","106971072","273656","1.624793","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2024_r003.json"
"c50_d8192_b1_dgg32_s2024_r004","50","8192","16384","1","dgg32","2024","4","PASS","0","0","0","0","1682.94","106971072","273656","1.82117","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2024_r004.json"
"c50_d8192_b1_dgg32_s2024_r005","50","8192","16384","1","dgg32","2024","5","PASS","0","0","0","0","1558.48","106971072","273656","1.728858","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2024_r005.json"
"c50_d8192_b1_dgg32_s2025_r001","50","8192","16384","1","dgg32","2025","1","PASS","0","0","0","0","1467.26","106971072","273656","1.603297","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2025_r001.json"
"c50_d8192_b1_dgg32_s2025_r002","50","8192","16384","1","dgg32","2025","2","PASS","0","0","0","0","1719.75","106971072","273524","1.866852","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2025_r002.json"
"c50_d8192_b1_dgg32_s2025_r003","50","8192","16384","1","dgg32","2025","3","PASS","0","0","0","0","1520.73","106971072","273656","1.651323","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2025_r003.json"
"c50_d8192_b1_dgg32_s2025_r004","50","8192","16384","1","dgg32","2025","4","PASS","0","0","0","0","1535.68","106971072","273592","1.681355","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2025_r004.json"
"c50_d8192_b1_dgg32_s2025_r005","50","8192","16384","1","dgg32","2025","5","PASS","0","0","0","0","1517.38","106971072","273656","1.666711","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2025_r005.json"
"c50_d8192_b1_dgg32_s2026_r001","50","8192","16384","1","dgg32","2026","1","PASS","0","0","0","0","1429.91","106971072","273720","1.559756","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2026_r001.json"
"c50_d8192_b1_dgg32_s2026_r002","50","8192","16384","1","dgg32","2026","2","PASS","0","0","0","0","1429.9","106971072","273656","1.560686","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2026_r002.json"
"c50_d8192_b1_dgg32_s2026_r003","50","8192","16384","1","dgg32","2026","3","PASS","0","0","0","0","1502.15","106971072","273592","1.628486","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2026_r003.json"
"c50_d8192_b1_dgg32_s2026_r004","50","8192","16384","1","dgg32","2026","4","PASS","0","0","0","0","1507.49","106971072","273656","1.647503","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2026_r004.json"
"c50_d8192_b1_dgg32_s2026_r005","50","8192","16384","1","dgg32","2026","5","PASS","0","0","0","0","1612.1","106971072","273592","1.746982","results/formal_v8/multiblock_scaling_paper/c50_d8192_b1_dgg32_s2026_r005.json"
"c10_d32768_b1_dgg32_s2024_r001","10","32768","16384","1","dgg32","2024","1","PASS","0","0","0","0","317.42","23072192","63156","0.443653","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2024_r001.json"
"c10_d32768_b1_dgg32_s2024_r002","10","32768","16384","1","dgg32","2024","2","PASS","0","0","0","0","323.031","23072192","63120","0.448436","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2024_r002.json"
"c10_d32768_b1_dgg32_s2024_r003","10","32768","16384","1","dgg32","2024","3","PASS","0","0","0","0","321.885","23072192","62972","0.443614","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2024_r003.json"
"c10_d32768_b1_dgg32_s2024_r004","10","32768","16384","1","dgg32","2024","4","PASS","0","0","0","0","308.842","23072192","63160","0.435703","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2024_r004.json"
"c10_d32768_b1_dgg32_s2024_r005","10","32768","16384","1","dgg32","2024","5","PASS","0","0","0","0","375.387","23072192","63164","0.509551","results/formal_v8/multiblock_scaling_paper/c10_d32768_b1_dgg32_s2024_r005.json"
