"case_id","clients","dimension","noise","seed","repetition","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","q_domain_diff_linf","q_domain_mismatch_count","total_ms","total_bytes","wrapper_elapsed_seconds","result_file"
"c10_d784_dgg32_s2026_r004","10","784","dgg32","2026","4","PASS","0","0","0","0","462.882","23072192","0.615404","results/formal_v8/scalability/retry1/c10_d784_dgg32_s2026_r004.json"
"c10_d784_dgg32_s2026_r005","10","784","dgg32","2026","5","PASS","0","0","0","0","454.806","23072192","0.617608","results/formal_v8/scalability/retry1/c10_d784_dgg32_s2026_r005.json"
"c20_d784_dgg32_s2024_r001","20","784","dgg32","2024","1","PASS","0","0","0","0","905.076","44046912","1.072032","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2024_r001.json"
"c20_d784_dgg32_s2024_r002","20","784","dgg32","2024","2","PASS","0","0","0","0","889.355","44046912","1.037658","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2024_r002.json"
"c20_d784_dgg32_s2024_r003","20","784","dgg32","2024","3","PASS","0","0","0","0","852.698","44046912","0.99812","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2024_r003.json"
"c20_d784_dgg32_s2024_r004","20","784","dgg32","2024","4","PASS","0","0","0","0","851.263","44046912","1.000047","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2024_r004.json"
"c20_d784_dgg32_s2024_r005","20","784","dgg32","2024","5","PASS","0","0","0","0","849.846","44046912","0.995931","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2024_r005.json"
"c20_d784_dgg32_s2025_r001","20","784","dgg32","2025","1","PASS","0","0","0","0","879.817","44046912","1.035231","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2025_r001.json"
"c20_d784_dgg32_s2025_r002","20","784","dgg32","2025","2","PASS","0","0","0","0","868.145","44046912","1.029306","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2025_r002.json"
"c20_d784_dgg32_s2025_r003","20","784","dgg32","2025","3","PASS","0","0","0","0","824.5","44046912","0.986355","results/formal_v8/scalability/retry1/c20_d784_dgg32_s2025_r003.json"
