dataset,seed,round,clients,train_subset,test_subset,gradient_dimension,route_a_blocks,route_quantized_diff_linf,route_block_mismatches,theta_quantized_route_linf,plain_loss,plain_acc,quantized_loss,quantized_acc,route_loss,route_acc
cifar10,2026,1,10,10000,2000,30730,1,0,0,0.0,6.456210465919676,0.1015,6.45699197277971,0.1015,6.45699197277971,0.1015
cifar10,2026,2,10,10000,2000,30730,1,0,0,0.0,8.887428925611498,0.1415,8.887114909214699,0.1415,8.887114909214699,0.1415
cifar10,2026,3,10,10000,2000,30730,1,0,0,0.0,13.143195128246903,0.124,13.140309532779012,0.124,13.140309532779012,0.124
cifar10,2026,4,10,10000,2000,30730,1,0,0,0.0,15.103266409695523,0.1525,15.111164180052365,0.1515,15.111164180052365,0.1515
cifar10,2026,5,10,10000,2000,30730,1,0,0,0.0,21.111260974231833,0.141,21.095105638191736,0.139,21.095105638191736,0.139
cifar10,2026,6,10,10000,2000,30730,1,0,0,0.0,24.30975518025204,0.1125,24.32037526784609,0.1125,24.32037526784609,0.1125
cifar10,2026,7,10,10000,2000,30730,1,0,0,0.0,22.91419850908716,0.097,22.91705926592675,0.0975,22.91705926592675,0.0975
cifar10,2026,8,10,10000,2000,30730,1,0,0,0.0,23.889964588569587,0.092,23.47612392155416,0.093,23.47612392155416,0.093
cifar10,2026,9,10,10000,2000,30730,1,0,0,0.0,25.028107440309824,0.0915,24.97587048104963,0.0915,24.97587048104963,0.0915
cifar10,2026,10,10,10000,2000,30730,1,0,0,0.0,21.881096737345267,0.158,21.92517272397416,0.159,21.92517272397416,0.159
cifar10,2026,11,10,10000,2000,30730,1,0,0,0.0,21.934509250617122,0.1655,21.922426701946083,0.1665,21.922426701946083,0.1665
cifar10,2026,12,10,10000,2000,30730,1,0,0,0.0,24.84713115995568,0.093,24.942761188034165,0.093,24.942761188034165,0.093
cifar10,2026,13,10,10000,2000,30730,1,0,0,0.0,22.401051652231132,0.142,22.01328813673973,0.167,22.01328813673973,0.167
cifar10,2026,14,10,10000,2000,30730,1,0,0,0.0,22.738423871310232,0.097,24.444017097857692,0.092,24.444017097857692,0.092
cifar10,2026,15,10,10000,2000,30730,1,0,0,0.0,19.357026625245968,0.159,22.54997957013918,0.103,22.54997957013918,0.103
cifar10,2026,16,10,10000,2000,30730,1,0,0,0.0,22.828331073725174,0.1115,22.8638166522646,0.1115,22.8638166522646,0.1115
cifar10,2026,17,10,10000,2000,30730,1,0,0,0.0,24.58763335900197,0.092,23.747305807188052,0.0935,23.747305807188052,0.0935
cifar10,2026,18,10,10000,2000,30730,1,0,0,0.0,23.19673912702757,0.1205,20.694110773713096,0.1595,20.694110773713096,0.1595
cifar10,2026,19,10,10000,2000,30730,1,0,0,0.0,23.329163445888096,0.1095,23.07079290076385,0.1185,23.07079290076385,0.1185
cifar10,2026,20,10,10000,2000,30730,1,0,0,0.0,22.522825849549402,0.131,24.110626511693468,0.092,24.110626511693468,0.092
