"case_id","ablation","clients","dimension","seed","repetition","k","k0","apbr","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","q_domain_diff_linf","q_domain_mismatch_count","total_ms","path_processing_ms","cs_recovery_ms","total_bytes","total_fragments_per_path","result_file"
"no_dummy_c30_d784_s2026_r002","no_dummy","30","784","2026","2","2","0","true","PASS","0","0","0","0","892.103","586.086","61.7691","62924160","60","results/formal_v8/ablations/no_dummy_c30_d784_s2026_r002.json"
"no_dummy_c30_d784_s2026_r003","no_dummy","30","784","2026","3","2","0","true","PASS","0","0","0","0","867.599","557.801","67.4158","62924160","60","results/formal_v8/ablations/no_dummy_c30_d784_s2026_r003.json"
"no_dummy_c30_d784_s2026_r004","no_dummy","30","784","2026","4","2","0","true","PASS","0","0","0","0","921.007","604.233","61.0262","62924160","60","results/formal_v8/ablations/no_dummy_c30_d784_s2026_r004.json"
"no_dummy_c30_d784_s2026_r005","no_dummy","30","784","2026","5","2","0","true","PASS","0","0","0","0","860.55","555.12","61.8799","62924160","60","results/formal_v8/ablations/no_dummy_c30_d784_s2026_r005.json"
"no_apbr_c30_d784_s2024_r001","no_apbr","30","784","2024","1","2","2","false","PASS","0","0","0","0","838.197","484.281","63.2271","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2024_r001.json"
"no_apbr_c30_d784_s2024_r002","no_apbr","30","784","2024","2","2","2","false","PASS","0","0","0","0","754.801","453.416","63.4591","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2024_r002.json"
"no_apbr_c30_d784_s2024_r003","no_apbr","30","784","2024","3","2","2","false","PASS","0","0","0","0","771.71","478.108","60.3478","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2024_r003.json"
"no_apbr_c30_d784_s2024_r004","no_apbr","30","784","2024","4","2","2","false","PASS","0","0","0","0","754.95","450.991","64.7252","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2024_r004.json"
"no_apbr_c30_d784_s2024_r005","no_apbr","30","784","2024","5","2","2","false","PASS","0","0","0","0","797.521","473.604","65.3578","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2024_r005.json"
"no_apbr_c30_d784_s2025_r001","no_apbr","30","784","2025","1","2","2","false","PASS","0","0","0","0","776.085","454.746","64.14","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2025_r001.json"
"no_apbr_c30_d784_s2025_r002","no_apbr","30","784","2025","2","2","2","false","PASS","0","0","0","0","770.329","457.924","69.6907","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2025_r002.json"
"no_apbr_c30_d784_s2025_r003","no_apbr","30","784","2025","3","2","2","false","PASS","0","0","0","0","790.659","488.5","59.2497","65021632","62","results/formal_v8/ablations/no_apbr_c30_d784_s2025_r003.json"
