"case_id","variant","clients","dimension","seed","repetition","status","encoded_plaintext_diff_linf","encoded_plaintext_mismatch_count","q_domain_diff_linf","q_domain_mismatch_count","total_ms","client_upload_bytes","path_to_cs_bytes","total_bytes","legacy_total_wire_bytes","wrapper_elapsed_seconds","result_file"
"plain_aggregate_c20_d784_s2025_r005","plain_aggregate","20","784","2025","5","PASS","0","0","0","0","0.189326","0","0","0","0","0.118455","results/formal_v8/controlled_baselines/plain_aggregate_c20_d784_s2025_r005.json"
"plain_aggregate_c20_d784_s2026_r001","plain_aggregate","20","784","2026","1","PASS","0","0","0","0","0.228407","0","0","0","0","0.113381","results/formal_v8/controlled_baselines/plain_aggregate_c20_d784_s2026_r001.json"
"plain_aggregate_c20_d784_s2026_r002","plain_aggregate","20","784","2026","2","PASS","0","0","0","0","0.185862","0","0","0","0","0.123362","results/formal_v8/controlled_baselines/plain_aggregate_c20_d784_s2026_r002.json"
"plain_aggregate_c20_d784_s2026_r003","plain_aggregate","20","784","2026","3","PASS","0","0","0","0","0.133258","0","0","0","0","0.131136","results/formal_v8/controlled_baselines/plain_aggregate_c20_d784_s2026_r003.json"
"plain_aggregate_c20_d784_s2026_r004","plain_aggregate","20","784","2026","4","PASS","0","0","0","0","0.135501","0","0","0","0","0.117987","results/formal_v8/controlled_baselines/plain_aggregate_c20_d784_s2026_r004.json"
"plain_aggregate_c20_d784_s2026_r005","plain_aggregate","20","784","2026","5","PASS","0","0","0","0","0.145938","0","0","0","0","0.125008","results/formal_v8/controlled_baselines/plain_aggregate_c20_d784_s2026_r005.json"
"plain_aggregate_c30_d784_s2024_r001","plain_aggregate","30","784","2024","1","PASS","0","0","0","0","0.280168","0","0","0","0","0.116307","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2024_r001.json"
"plain_aggregate_c30_d784_s2024_r002","plain_aggregate","30","784","2024","2","PASS","0","0","0","0","0.157931","0","0","0","0","0.127705","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2024_r002.json"
"plain_aggregate_c30_d784_s2024_r003","plain_aggregate","30","784","2024","3","PASS","0","0","0","0","0.160471","0","0","0","0","0.112022","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2024_r003.json"
"plain_aggregate_c30_d784_s2024_r004","plain_aggregate","30","784","2024","4","PASS","0","0","0","0","0.154365","0","0","0","0","0.112469","results/formal_v8/controlled_baselines/plain_aggregate_c30_d784_s2024_r004.json"
