dataset,seed,round,clients,train_subset,test_subset,gradient_dimension,route_a_blocks,route_quantized_diff_linf,route_block_mismatches,theta_quantized_route_linf,plain_loss,plain_acc,quantized_loss,quantized_acc,route_loss,route_acc
cifar10,2024,1,10,10000,2000,30730,1,0,0,0.0,6.21883221201911,0.0965,6.217079896777595,0.0965,6.217079896777595,0.0965
cifar10,2024,2,10,10000,2000,30730,1,0,0,0.0,7.1308025187704045,0.1915,7.136766572053574,0.1915,7.136766572053574,0.1915
cifar10,2024,3,10,10000,2000,30730,1,0,0,0.0,14.35713000842276,0.1645,14.36234209285355,0.165,14.36234209285355,0.165
cifar10,2024,4,10,10000,2000,30730,1,0,0,0.0,20.2917592488979,0.1035,20.311179601595743,0.1035,20.311179601595743,0.1035
cifar10,2024,5,10,10000,2000,30730,1,0,0,0.0,20.283912944040654,0.103,20.277522239629242,0.103,20.277522239629242,0.103
cifar10,2024,6,10,10000,2000,30730,1,0,0,0.0,21.39835408176231,0.0975,20.798581671346167,0.133,20.798581671346167,0.133
cifar10,2024,7,10,10000,2000,30730,1,0,0,0.0,22.05900153759319,0.1365,24.683705176343693,0.099,24.683705176343693,0.099
cifar10,2024,8,10,10000,2000,30730,1,0,0,0.0,22.795581744631825,0.109,22.8571231207806,0.109,22.8571231207806,0.109
cifar10,2024,9,10,10000,2000,30730,1,0,0,0.0,23.72951577938536,0.1095,23.697738167655086,0.1095,23.697738167655086,0.1095
cifar10,2024,10,10,10000,2000,30730,1,0,0,0.0,23.43196857991261,0.095,23.863732706543082,0.094,23.863732706543082,0.094
cifar10,2024,11,10,10000,2000,30730,1,0,0,0.0,23.81654174343198,0.0925,24.346540107759267,0.0925,24.346540107759267,0.0925
cifar10,2024,12,10,10000,2000,30730,1,0,0,0.0,24.71034272386182,0.104,24.61629791069174,0.104,24.61629791069174,0.104
cifar10,2024,13,10,10000,2000,30730,1,0,0,0.0,24.961529814512833,0.0965,24.9421476323108,0.0965,24.9421476323108,0.0965
cifar10,2024,14,10,10000,2000,30730,1,0,0,0.0,24.847162687533167,0.099,25.047520641590804,0.0935,25.047520641590804,0.0935
cifar10,2024,15,10,10000,2000,30730,1,0,0,0.0,22.309963975658768,0.112,22.806905130957922,0.1015,22.806905130957922,0.1015
cifar10,2024,16,10,10000,2000,30730,1,0,0,0.0,24.351306864764652,0.1035,23.147625376040356,0.114,23.147625376040356,0.114
cifar10,2024,17,10,10000,2000,30730,1,0,0,0.0,19.31280067738046,0.137,20.33253400288586,0.137,20.33253400288586,0.137
cifar10,2024,18,10,10000,2000,30730,1,0,0,0.0,22.701991042081964,0.1215,22.7659855411975,0.1225,22.7659855411975,0.1225
cifar10,2024,19,10,10000,2000,30730,1,0,0,0.0,21.642063145308306,0.148,22.50644363845471,0.118,22.50644363845471,0.118
cifar10,2024,20,10,10000,2000,30730,1,0,0,0.0,22.409075020383668,0.1325,21.425308410113868,0.1565,21.425308410113868,0.1565
