dataset,seed,round,clients,train_subset,test_subset,gradient_dimension,route_a_blocks,route_quantized_diff_linf,route_block_mismatches,theta_quantized_route_linf,plain_loss,plain_acc,quantized_loss,quantized_acc,route_loss,route_acc
mnist,2024,1,10,10000,2000,7850,1,0,0,0.0,1.8347743576992395,0.666,1.8347622023584518,0.6665,1.8347622023584518,0.6665
mnist,2024,2,10,10000,2000,7850,1,0,0,0.0,1.5066446048042634,0.7705,1.5065910338597512,0.7705,1.5065910338597512,0.7705
mnist,2024,3,10,10000,2000,7850,1,0,0,0.0,1.2975064416223712,0.7655,1.2974126865052003,0.765,1.2974126865052003,0.765
mnist,2024,4,10,10000,2000,7850,1,0,0,0.0,1.1437192260831206,0.809,1.1436435143774053,0.809,1.1436435143774053,0.809
mnist,2024,5,10,10000,2000,7850,1,0,0,0.0,1.0384350660581354,0.804,1.038404482556955,0.804,1.038404482556955,0.804
mnist,2024,6,10,10000,2000,7850,1,0,0,0.0,0.9562869163080404,0.819,0.956281940805375,0.8195,0.956281940805375,0.8195
mnist,2024,7,10,10000,2000,7850,1,0,0,0.0,0.8933159347790818,0.8215,0.8932845775839653,0.8215,0.8932845775839653,0.8215
mnist,2024,8,10,10000,2000,7850,1,0,0,0.0,0.843187502307434,0.8285,0.8431719408001072,0.829,0.8431719408001072,0.829
mnist,2024,9,10,10000,2000,7850,1,0,0,0.0,0.8004977387161898,0.8335,0.80048567365896,0.833,0.80048567365896,0.833
mnist,2024,10,10,10000,2000,7850,1,0,0,0.0,0.7659279382438333,0.842,0.7659314050912636,0.842,0.7659314050912636,0.842
mnist,2024,11,10,10000,2000,7850,1,0,0,0.0,0.7351769228754481,0.8465,0.7351904006213233,0.8465,0.7351904006213233,0.8465
mnist,2024,12,10,10000,2000,7850,1,0,0,0.0,0.7095338092620791,0.8485,0.7095519332421162,0.8485,0.7095519332421162,0.8485
mnist,2024,13,10,10000,2000,7850,1,0,0,0.0,0.6866039580240656,0.8505,0.6866202916135637,0.8505,0.6866202916135637,0.8505
mnist,2024,14,10,10000,2000,7850,1,0,0,0.0,0.6667986459362775,0.8555,0.6668331225398499,0.8555,0.6668331225398499,0.8555
mnist,2024,15,10,10000,2000,7850,1,0,0,0.0,0.6490803492474199,0.8565,0.6491073288060609,0.857,0.6491073288060609,0.857
mnist,2024,16,10,10000,2000,7850,1,0,0,0.0,0.6333105168570005,0.8605,0.6333365168852009,0.8605,0.6333365168852009,0.8605
mnist,2024,17,10,10000,2000,7850,1,0,0,0.0,0.6191060593657048,0.86,0.6191434187315926,0.86,0.6191434187315926,0.86
mnist,2024,18,10,10000,2000,7850,1,0,0,0.0,0.6062084662853519,0.8635,0.6062614814167091,0.863,0.6062614814167091,0.863
mnist,2024,19,10,10000,2000,7850,1,0,0,0.0,0.5944716514543836,0.8645,0.5945297653105341,0.8645,0.5945297653105341,0.8645
mnist,2024,20,10,10000,2000,7850,1,0,0,0.0,0.5836876309453283,0.865,0.5837472714558071,0.865,0.5837472714558071,0.865
