dataset,seed,round,clients,train_subset,test_subset,gradient_dimension,route_a_blocks,route_quantized_diff_linf,route_block_mismatches,theta_quantized_route_linf,plain_loss,plain_acc,quantized_loss,quantized_acc,route_loss,route_acc
mnist,2026,1,10,10000,2000,7850,1,0,0,0.0,1.820116370894759,0.6435,1.8200923952788504,0.6435,1.8200923952788504,0.6435
mnist,2026,2,10,10000,2000,7850,1,0,0,0.0,1.4880484224407198,0.799,1.4880641922415205,0.799,1.4880641922415205,0.799
mnist,2026,3,10,10000,2000,7850,1,0,0,0.0,1.272678031189209,0.7775,1.2727562035637312,0.7775,1.2727562035637312,0.7775
mnist,2026,4,10,10000,2000,7850,1,0,0,0.0,1.1209251211786406,0.823,1.1209861921045554,0.823,1.1209861921045554,0.823
mnist,2026,5,10,10000,2000,7850,1,0,0,0.0,1.0149102152137566,0.819,1.0150337401300293,0.819,1.0150337401300293,0.819
mnist,2026,6,10,10000,2000,7850,1,0,0,0.0,0.9318321549677255,0.831,0.931880710329517,0.831,0.931880710329517,0.831
mnist,2026,7,10,10000,2000,7850,1,0,0,0.0,0.8713883122040179,0.836,0.8714694974227964,0.8355,0.8714694974227964,0.8355
mnist,2026,8,10,10000,2000,7850,1,0,0,0.0,0.8184351846933918,0.8375,0.8184818109478694,0.8375,0.8184818109478694,0.8375
mnist,2026,9,10,10000,2000,7850,1,0,0,0.0,0.7793959403178047,0.844,0.7794758638946668,0.844,0.7794758638946668,0.844
mnist,2026,10,10,10000,2000,7850,1,0,0,0.0,0.742593613271243,0.8475,0.7426449759075628,0.8475,0.7426449759075628,0.8475
mnist,2026,11,10,10000,2000,7850,1,0,0,0.0,0.7149850016196151,0.851,0.7150367308351331,0.851,0.7150367308351331,0.851
mnist,2026,12,10,10000,2000,7850,1,0,0,0.0,0.6882560723034288,0.855,0.6882807308835891,0.855,0.6882807308835891,0.855
mnist,2026,13,10,10000,2000,7850,1,0,0,0.0,0.6673818078309073,0.8555,0.6674226626690017,0.855,0.6674226626690017,0.855
mnist,2026,14,10,10000,2000,7850,1,0,0,0.0,0.6472940372046748,0.8595,0.6473344836302222,0.8595,0.6473344836302222,0.8595
mnist,2026,15,10,10000,2000,7850,1,0,0,0.0,0.6307383442595219,0.8605,0.6307830532751598,0.8605,0.6307830532751598,0.8605
mnist,2026,16,10,10000,2000,7850,1,0,0,0.0,0.6150924284026819,0.862,0.6151483540001286,0.8625,0.6151483540001286,0.8625
mnist,2026,17,10,10000,2000,7850,1,0,0,0.0,0.601559095214068,0.8635,0.6016066916303427,0.8625,0.6016066916303427,0.8625
mnist,2026,18,10,10000,2000,7850,1,0,0,0.0,0.5889517722063164,0.863,0.5890048815346222,0.863,0.5890048815346222,0.863
mnist,2026,19,10,10000,2000,7850,1,0,0,0.0,0.5776734177936037,0.8635,0.5777356378345601,0.864,0.5777356378345601,0.864
mnist,2026,20,10,10000,2000,7850,1,0,0,0.0,0.5672259118635656,0.868,0.5672869528663729,0.868,0.5672869528663729,0.868
